,negative,positive,neutral,total
issue,33.4346755316717,3.939099892936319,2.7280013005189727,40.101776725126996
use,24.99788696507187,2.3684108530035237,12.477295744377102,39.8435935624525
last,28.407194200367996,4.763210476092203,6.369959023617302,39.540363700077506
e_smiley,3.244170990300518,28.96841822055717,7.174286786140847,39.38687599699853
hr,37.43510261663862,0.3723822054567326,1.3721556240043857,39.17964044609974
first,22.767648285029054,7.277660872020853,9.12142279146093,39.16673194851084
number,23.428015315057152,2.3717488584837207,13.191677559122498,38.99144173266337
told,33.274830232786265,1.0658511793718342,3.5030315169280533,37.84371292908615
next,21.8896346506888,6.7447141963628745,9.085936904227951,37.720285751279626
come,22.795887706444134,4.397540696825848,10.364478376884101,37.557906780154084
tell,29.795269988110565,1.242855790447535,6.3223020120832,37.3604277906413
ever,29.82920706795077,5.432568077487848,1.9697054056341807,37.2314805510728
baggage,29.792159327442846,2.8285784977767996,4.587458929464697,37.208196754684344
sit,34.25472949174641,0.5647017015185447,2.3020586972303816,37.12148989049533
response,25.54763840293905,9.072703623242061,2.128615944840438,36.748957971021554
right,22.343900301387315,5.028970654257664,9.192418566819148,36.56528952246413
trip,22.543861794092347,6.900443455911123,7.120402063451888,36.56470731345536
someone,28.891668236298667,0.9430318188955203,6.335099201749313,36.1697992569435
best,10.17014345859283,21.00458971010498,4.797114114420092,35.9718472831179
jfk,21.547908925081128,5.260701391640933,8.901833023950447,35.710443340672505
crew,21.110196742194102,12.704496533374044,1.8577056876925813,35.672398963260726
reservation,25.211228482298424,0.8638389012013393,9.007847386778396,35.08291477027816
late flight,30.81963473789446,1.544595092669144,2.1622916085135095,34.526521439077115
two,26.246539891631105,2.6919980239506986,5.057163797378141,33.99570171295994
passenger,26.751546645762662,1.8974516927543021,4.9633348692045445,33.612333207721505
sure,18.777844716510288,6.368044354862797,8.212862217578287,33.35875128895137
due,28.329675933909346,0.8460515284482715,3.823221785681803,32.99894924803942
already,21.717331298589873,4.043577965326313,6.454588511715075,32.21549777563126
ee_teaseerience,25.034151743412014,6.10244599406698,1.0782405969924158,32.21483833447141
week,20.427450463129937,6.8152875648893545,4.844623434560816,32.087361462580105
flighted,28.756769345820913,0.7589321727516328,2.5029340939883076,32.01863561256085
cancelled flighted,28.756769345820913,0.7589321727516328,2.5029340939883076,32.01863561256085
line,28.418971220570047,1.504420679289708,1.7441483666835562,31.667540266543313
answer,28.416387321698302,0.969455769560273,1.941468537553259,31.327311628811835
appreciate,8.744612867216189,19.968021060278453,2.55440765972492,31.267041587219563
flight cancelled,29.213717232561653,0.11673338113010188,1.43853176430007,30.768982377991826
update,21.628891434852722,3.6183512748818094,5.257917642541381,30.505160352275915
keep,21.25064504819139,6.331721036333811,2.903699681538392,30.486065766063593
staff,21.672601135313258,7.285354907750591,1.0145213817504237,29.972477424814272
think,18.878598237135417,3.960301918026632,7.026444387002556,29.865344542164607
land,16.61281632433719,4.964021565298497,8.249929178686887,29.82676706832257
aa,18.997146436525544,3.403905290450304,7.181207812619906,29.582259539595753
online,22.038075098436483,0.22875754171166607,7.251090493405093,29.517923133553243
connection,22.437163950241644,2.996046401310289,3.9336452370385397,29.36685558859047
pay,24.28124817934743,0.815853330039086,4.26601822255097,29.363119731937488
awesome,2.7989091480243857,24.747251110142475,1.5262852231706536,29.072445481337514
long,20.67459704956463,3.7937079564110596,4.337430147149396,28.805735153125084
not get,24.966504995563078,1.2526217573601692,2.51474747506392,28.73387422798717
boarding,18.737238861219637,3.249036909611098,6.497330444254176,28.48360621508491
problem,23.034557321442502,3.2869796049855577,1.8428207925858109,28.16435771901387
tonight,14.130191771807665,7.043610989794628,6.916801797301731,28.090604558904023
morning,13.737791863625677,6.091010137615373,8.21253477709559,28.041336778336643
board,20.556414081138158,4.316688801700752,3.1652424032606583,28.03834528609957
website,23.951688255792522,0.18075286085623704,3.848301066374367,27.98074218302313
refund,22.79579285042376,0.892748978721957,3.9746541563113715,27.663195985457087
show,15.892774056053362,2.8222677428582306,8.908324340834852,27.623366139746445
find,21.198738470416934,2.099633010175253,4.050241867870177,27.348613348462365
hope,15.326539142210942,5.913706019206893,6.015394582852251,27.255639744270084
finally,13.309932268480418,10.27222688505273,3.582127756249979,27.164286909783126
year,13.851563016275394,6.095152247997016,7.040135412231891,26.9868506765043
ask,18.909478273635706,1.2532456465564557,6.695310014909399,26.85803393510156
info,17.118142155990252,3.1561680213094885,6.539604923001639,26.81391510030138
care,19.072360785534062,5.396176263624297,2.2136973722446607,26.68223442140302
left,16.906727090508372,2.0160853420666895,7.667835504381624,26.590647936956685
10,20.700978959029626,1.6239194307321163,4.2538126689238265,26.57871105868557
suck,24.78843500049187,0.9171045391897781,0.4768969914145674,26.182436531096215
30,21.71228160648071,0.5300418940539103,3.8137556203583927,26.05607912089301
since,21.744623902976567,1.643066465333096,2.6094959157504527,25.997186284060117
nothing,24.789018148209696,0.2514573458505689,0.821184386602988,25.86165988066325
anything,17.957674039766722,1.9588128076680826,5.859285793583175,25.77577264101798
leave,19.162697921184723,1.0616450797634487,5.487631589890495,25.711974590838665
always,13.56431697091339,10.062074727702196,1.63936792439481,25.265759623010396
dfw,14.364425760156742,2.9592577654707037,7.862556551321684,25.18624007694913
put,19.30315830156953,2.1054025107076533,3.765040117197838,25.17360092947502
stuck,23.652577992291626,0.397214083988354,1.0643662967926661,25.114158373072645
system,22.966911046633378,0.8417523572934578,1.1103778420612223,24.91904124598806
yet,19.786098548150086,0.5810596285449958,4.280127518353489,24.64728569504857
lax,13.026543015505975,3.5653953665500544,8.001430229688756,24.593368611744786
jetblue,12.866632675505697,7.822819840408317,3.864544372332659,24.553996888246672
night,17.47265146467813,3.1077511116050376,3.9036525309246612,24.484055107207826
flt,17.494891872352685,2.601235356423243,4.306291670454999,24.402418899230927
